기능,파일,줄,현재값,종류,권장토큰,분류,ΔE,코드
profile,src/features/profile/components/SaveCompleteModal.tsx,50,"rgba(0, 0, 0, 0.48)",rgba,—,투명도 포함 — 토큰화 대상 아님(오버레이),,"overlay: { alignItems: 'center', backgroundColor: 'rgba(0, 0, 0, 0.48)', flex: 1, justifyContent: 'center', padding: spacing.md },"
route-recommendation,src/features/route-recommendation/components/InlineDateTimePicker.tsx,18,#FF7A00,hex,primary,토큰없음,21.6,"orange: '#FF7A00',"
route-recommendation,src/features/route-recommendation/components/InlineDateTimePicker.tsx,19,#292B2E,hex,textPrimary,근접-판단필요,4.4,"ink: '#292B2E',"
route-recommendation,src/features/route-recommendation/components/InlineDateTimePicker.tsx,20,#858A90,hex,iconGray,근접-판단필요,5.7,"gray: '#858A90',"
route-recommendation,src/features/route-recommendation/components/InlineDateTimePicker.tsx,21,#E7E9EB,hex,divider,유사색-확인필요,1.8,"line: '#E7E9EB',"
route-recommendation,src/features/route-recommendation/components/InlineDateTimePicker.tsx,22,#FFF3E5,hex,orangeBg,유사색-확인필요,2.5,"paleOrange: '#FFF3E5',"
route-recommendation,src/features/route-recommendation/components/InlineDateTimePicker.tsx,23,#FFFFFF,hex,background,정확일치,0.0,"white: '#FFFFFF',"
route-recommendation,src/features/route-recommendation/components/InlineDateTimePicker.tsx,244,#E65D5D,hex,error,근접-판단필요,9.4,"sundayText: { color: '#E65D5D' },"
route-recommendation,src/features/route-recommendation/components/InlineDateTimePicker.tsx,245,#5584CC,hex,textSecondary,토큰없음,42.6,"saturdayText: { color: '#5584CC' },"
route-recommendation,src/features/route-recommendation/components/InlineDateTimePicker.tsx,249,#C5C8CB,hex,divider,토큰없음,10.7,"pastDayText: { color: '#C5C8CB' },"
